Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
AAPL,Apple Inc.,565.25,527022142500,n/a,1980,n/a,n/a,http://www.nasdaq.com/symbol/aapl
XOM,Exxon Mobil Corporation,84.57,397687211340,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/xom
MSFT,Microsoft Corporation,30.98,259946085580,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/msft
BAC^I,Bank of America Corporation,24.79,248692932940,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac^i
IBM,International Business Machines Corporation,204.99,236452685160,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibm
CVX,Chevron Corporation,103.72,204956113440,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvx
GE,General Electric Company,19.34,204595287780,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ge
WMT,"Wal-Mart Stores, Inc.",58.7,199619622500,n/a,1970,n/a,n/a,http://www.nasdaq.com/symbol/wmt
T,AT&T Inc.,32.86,194818790720,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/t
JNJ,Johnson & Johnson,64.74,178035000000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jnj
PG,Procter & Gamble Company (The),64.28,176134013680,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pg
WFC,Wells Fargo & Company,33.03,174320383140,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc
KO,Coca-Cola Company (The),77,173860918000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ko
PFE,"Pfizer, Inc.",22.38,168687705780,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pfe
JPM,J P Morgan Chase & Co,41.75,159589416750,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm
GOOG,Google Inc.,596.97,153994978170,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/goog
PM,Philip Morris International Inc,89.13,152883619440,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pm
VOD,Vodafone Group Plc,27.79,143333955870,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vod
ORCL,Oracle Corporation,28.41,142784029170,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/orcl
INTC,Intel Corporation,27.9,139388400000,n/a,1971,n/a,n/a,http://www.nasdaq.com/symbol/intc
MRK,"Merck & Company, Inc.",38.84,118180293480,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mrk
VZ,Verizon Communications Inc.,40.26,114379988580,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vz
BRK/A,Berkshire Hathaway Inc.,121950,113901300000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brk/a
QCOM,QUALCOMM Incorporated,61.91,104715688380,n/a,1991,n/a,n/a,http://www.nasdaq.com/symbol/qcom
PEP,"Pepsico, Inc.",65.9,103065293500,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pep
CSCO,"Cisco Systems, Inc.",19.12,102979134560,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/csco
AMZN,"Amazon.com, Inc.",223.99,101930681320,n/a,1997,n/a,n/a,http://www.nasdaq.com/symbol/amzn
